batch_size,lr_opt,alpha,psnr_mean_avg,psnr_std,ssim_mean_avg,ssim_std,mse_avg,mse_std,num_runs
8,0.1,0.1,10.47,0.91,0.0989,0.0219,0.095103,0.019483,5
8,0.1,0.2,9.84,0.45,0.1111,0.0139,0.107751,0.010756,5
8,0.1,0.5,9.73,0.26,0.0827,0.0052,0.112282,0.005516,5
8,0.1,1.0,9.42,0.28,0.0672,0.0035,0.117023,0.008833,5
16,0.01,0.01,8.91,0.18,0.0413,0.0035,0.131692,0.005994,5
16,0.01,0.05,8.84,0.38,0.0344,0.0119,0.132303,0.010957,5
16,0.01,0.1,8.86,0.77,0.0382,0.0095,0.135165,0.024186,5
16,0.01,0.2,8.79,0.53,0.0184,0.0047,0.137112,0.013996,5
16,0.01,0.5,8.55,0.26,0.0160,0.0077,0.143765,0.009549,5
16,0.01,1.0,8.51,0.50,0.0192,0.0025,0.143606,0.016458,5
16,0.05,0.01,10.56,1.04,0.0756,0.0243,0.093986,0.019200,5
16,0.05,0.05,9.25,0.55,0.0604,0.0099,0.122562,0.013987,5
16,0.05,0.1,8.98,0.82,0.0417,0.0043,0.134043,0.022301,5
16,0.05,0.2,9.05,0.59,0.0432,0.0051,0.129182,0.015113,5
16,0.05,0.5,9.18,0.46,0.0344,0.0053,0.126572,0.011929,5
16,0.05,1.0,8.82,0.50,0.0316,0.0085,0.136362,0.013367,5
16,0.1,0.01,10.04,0.26,0.0862,0.0145,0.102414,0.006393,5
16,0.1,0.05,9.40,0.38,0.0833,0.0115,0.119255,0.008540,5
16,0.1,0.1,9.51,0.91,0.0767,0.0173,0.117604,0.019349,5
16,0.1,0.2,9.19,0.69,0.0500,0.0121,0.126457,0.018300,5
16,0.1,0.5,8.73,0.48,0.0474,0.0163,0.137192,0.013562,5
16,0.1,1.0,8.20,0.34,0.0330,0.0083,0.154997,0.013074,5
24,0.01,0.01,9.14,0.56,0.0323,0.0026,0.126091,0.016766,5
24,0.01,0.05,8.53,0.67,0.0255,0.0052,0.144318,0.024023,5
24,0.01,0.1,8.73,0.31,0.0130,0.0026,0.136884,0.008847,5
24,0.01,0.2,8.57,0.22,0.0207,0.0041,0.141222,0.006260,5
24,0.01,0.5,8.47,0.44,0.0102,0.0052,0.144419,0.013842,5
24,0.01,1.0,8.53,0.49,0.0089,0.0049,0.143336,0.016669,5
24,0.05,0.01,9.41,0.54,0.0517,0.0071,0.119060,0.012943,5
24,0.05,0.05,9.57,0.41,0.0434,0.0134,0.113548,0.010844,5
24,0.05,0.1,9.03,0.55,0.0366,0.0061,0.128805,0.015923,5
24,0.05,0.2,8.76,0.71,0.0348,0.0094,0.138131,0.023064,5
24,0.05,0.5,8.42,0.36,0.0211,0.0067,0.146169,0.011634,5
24,0.05,1.0,8.44,0.43,0.0190,0.0113,0.146732,0.015559,5
24,0.1,0.01,9.44,0.79,0.0529,0.0079,0.119973,0.021100,5
24,0.1,0.05,9.20,0.27,0.0521,0.0111,0.123746,0.008530,5
24,0.1,0.1,8.90,0.21,0.0484,0.0096,0.132108,0.006053,5
24,0.1,0.2,9.09,0.59,0.0370,0.0099,0.128536,0.017259,5
24,0.1,0.5,8.30,0.40,0.0362,0.0076,0.151886,0.014067,5
24,0.1,1.0,7.97,0.38,0.0279,0.0075,0.161381,0.013921,5
